name,battingStyle,Batting Avg,Strike rate,bowlingStyle,Bowling Average,Economy,team
MarkWood,Right hand Bat,11,220.00000000000003,Right arm Fast,11.818181818181818,8.125,Super Giants
PatCummins,Right hand Bat,22.285714285714285,195,Right arm Fast,28.0625,9.621428571428572,KKR
DavidWiese,Right hand Bat,21,190.9090909090909,Right arm Medium fast,0,12.666666666666666,KKR
TimDavid,Right hand Bat,27.866666666666667,177.87234042553192,Right arm Offbreak,,,RCB
HeinrichKlaasen,Right hand Bat,49.77777777777778,177.07509881422925,Right arm Offbreak,,,Sunrisers
RashidKhan,Right hand Bat,20.266666666666666,176.74418604651163,Legbreak Googly,20.904761904761905,7.203281677301732,Sunrisers
DhruvJurel,Right hand Bat,21.714285714285715,172.72727272727272,Not Available,,,Royals
KrishnappaGowtham,Right hand Bat,15,171.42857142857142,Right arm Offbreak,27.125,7.75,Super Giants
AkashDeep,Right hand Bat,8.5,170,Right arm Fast medium,44,11.076923076923077,RCB
MohammadNabi,Right hand Bat,11.333333333333334,170,Right arm Offbreak,43,10.75,Sunrisers
LiamLivingstone,Right hand Bat,30.32,167.6991150442478,"Right arm Offbreak, Legbreak",37,9.866666666666667,Royals
DwayneBravo,Right hand Bat,23.333333333333332,166.66666666666669,Right arm Medium,18.733333333333334,8.264705882352942,Super Kings
PhilSalt,Right hand Bat,27.25,163.90977443609023,Right arm Offbreak,,,Capitals
MayankMarkande,Right hand Bat,0,161.53846153846155,Legbreak,29.46153846153846,7.979166666666667,Royals
GlennMaxwell,Right hand Bat,34.68571428571428,161.43617021276594,Right arm Offbreak,32.833333333333336,7.827814569536423,RCB
SuryakumarYadav,Right hand Bat,35,160.55045871559633,"Right arm Medium, Right arm Offbreak",,,Mumbai
CameronGreen,Right hand Bat,50.22222222222222,160.2836879432624,Right arm Fast medium,60.166666666666664,9.5,Mumbai
AkealHosein,Left hand Bat,0,160,Slow Left arm Orthodox,40,10,Sunrisers
